Field Name,Look Up
HBU As If Vacant,103
HBU As Improved,104
Present Use,102
Water System,56
Sewer System,57
Access,55
Topography,59
Street Surface,60
Restrictive Size / Shape,90
Inadequate Parking,92
View: Mt Rainier,58
View: Olympics,58
View: Cascades,58
View: Territorial,58
View: Seattle Skyline,58
View: Puget Sound,58
View: Lake Washington,58
View: Lake Sammamish,58
View: Small Lake / River / Creek,58
View: Other View,58
Waterfront Location,50
Waterfront Bank,52
Waterfront Poor Quality,51
Waterfront Restricted Access,53
Tideland / Shoreland,54
Traffic Noise,95
Contamination,93
Common Property,105
Historic Site,67
Current Use Designation,16
Property Type,1
Principal Use,2
Sale Instrument,6
Sale Reason,5
Property Class,4
Sale Warning,7
Building Grade                     ,82
Finished Basement Grade              ,82
Heat System                     ,108
Heat Source                    ,84
Condition                     ,83
