SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,10215 SE 217th St,Kent,WA,98031,545950,3,2.5,Kent,2040,3431,2015,1,268,55,Active,,,http://www.redfin.com/WA/Kent/10215-SE-217th-St-98031/home/55550657,NWMLS,1606488,N,Y,47.4075969,-122.2034678
MLS Listing,,Single Family Residential,26025 SE 192nd St,Maple Valley,WA,98038,779000,3,3.0,Maple Valley,2700,249163,1992,1,289,,Active,,,http://www.redfin.com/WA/Maple-Valley/26025-SE-192nd-St-98038/home/424320,NWMLS,1606311,N,Y,47.426434,-121.99372
MLS Listing,,Single Family Residential,1717 45th Ave SW,Seattle,WA,98116,1050000,4,3.0,Admiral,2470,6250,1928,1,425,,Active,,,http://www.redfin.com/WA/Seattle/1717-45th-Ave-SW-98116/home/331033,NWMLS,1606398,N,Y,47.5874884,-122.3893574
MLS Listing,,Single Family Residential,5134 S Fountain St,Seattle,WA,98178,700000,7,3.5,Rainier Beach,3360,16650,1956,4,208,,Active,,,http://www.redfin.com/WA/Seattle/5134-S-Fountain-St-98178/home/178282,NWMLS,1603384,N,Y,47.5039157,-122.2685296
MLS Listing,,Single Family Residential,16927 33rd Ave NE,Lake Forest Park,WA,98155,749950,3,2.0,Lake Forest Park,1940,11317,1942,4,387,,Active,,,http://www.redfin.com/WA/Lake-Forest-Park/16927-33rd-Ave-NE-98155/home/89282,NWMLS,1605419,N,Y,47.7518927,-122.293529
MLS Listing,,Single Family Residential,6028 298th Pl,Auburn,WA,98001,549950,5,2.5,West Hill,2620,9701,1989,4,210,,Active,,,http://www.redfin.com/WA/Auburn/6028-S-298th-Pl-98001/home/210174,NWMLS,1605123,N,Y,47.3348773,-122.2598022
MLS Listing,,Townhouse,5953 Fauntleroy Way SW Unit B,Seattle,WA,98136,550000,3,1.75,Fairmount,1200,816,2017,4,458,,Active,,,http://www.redfin.com/WA/Seattle/5953-Fauntleroy-Way-SW-98136/unit-B/home/112863530,NWMLS,1605445,N,Y,47.5486873,-122.3834738
MLS Listing,,Townhouse,69 Cougar Ridge Rd NW #2104,Issaquah,WA,98027,549000,2,1.75,Talus,1196,,2006,4,459,392,Active,,,http://www.redfin.com/WA/Issaquah/69-Cougar-Ridge-Rd-NW-98027/unit-2104/home/12305506,NWMLS,1603712,N,Y,47.5316111,-122.0680584
MLS Listing,,Condo/Co-op,535 20th Ave E #101,Seattle,WA,98112,375000,1,1.0,Capitol Hill,698,,1923,4,537,558,Active,,,http://www.redfin.com/WA/Seattle/535-20th-Ave-E-98112/unit-101/home/62446,NWMLS,1604855,N,Y,47.6242384,-122.3063712
MLS Listing,,Single Family Residential,2756 SW Holden St,Seattle,WA,98126,799950,3,2.5,Westwood,2100,2458,2018,4,381,,Active,,,http://www.redfin.com/WA/Seattle/2756-SW-Holden-St-98126/home/145639943,NWMLS,1605227,N,Y,47.534355582,-122.3678211
MLS Listing,,Single Family Residential,2144 N 188th St,Shoreline,WA,98133,725000,3,2.25,Echo Lake,2150,7400,1963,4,337,,Active,,,http://www.redfin.com/WA/Shoreline/2144-N-188th-St-98133/home/79449,NWMLS,1605072,N,Y,47.7658188,-122.3330241
MLS Listing,,Single Family Residential,6786 48th Ave SW,Seattle,WA,98136,1050000,3,2.25,Seaview,2362,5000,1912,4,445,,Active,,,http://www.redfin.com/WA/Seattle/6786-48th-Ave-SW-98136/home/152645,NWMLS,1605309,N,Y,47.5409424,-122.3958268
