SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,9848 46th Ave SW,Seattle,WA,98136,995000,4,1.75,Arbor Heights,2320,7569,1952,11,429,,Active,,,http://www.redfin.com/WA/Seattle/9848-46th-Ave-SW-98136/home/158280,NWMLS,1587633,N,Y,47.5143359,-122.3906925
MLS Listing,,Single Family Residential,3812 34th Ave SW,Seattle,WA,98126,890000,3,1.75,Genesee,2410,4000,1926,11,369,,Active,,,http://www.redfin.com/WA/Seattle/3812-34th-Ave-SW-98126/home/327593,NWMLS,1588332,N,Y,47.5696016,-122.3748225
MLS Listing,,Single Family Residential,5210 13th Ave S,Seattle,WA,98108,1030000,4,3.5,Beacon Hill,2532,4465,2020,33,407,,Active,,,http://www.redfin.com/WA/Seattle/5210-13th-Ave-S-98108/home/147713608,NWMLS,1576502,N,Y,47.5552298,-122.3157904
MLS Listing,,Single Family Residential,3003 NW 72nd St,Seattle,WA,98117,1195000,4,4.0,Sunset Hill,3080,5200,1910,40,388,,Active,,,http://www.redfin.com/WA/Seattle/3003-NW-72nd-St-98117/home/164658,NWMLS,1577253,N,Y,47.6807351,-122.3959591
MLS Listing,,Single Family Residential,336 29th Ave,Seattle,WA,98122,1699950,6,4.25,Leschi,3229,4950,1904,151,526,,Active,,,http://www.redfin.com/WA/Seattle/336-29th-Ave-98122/home/149120,NWMLS,1542708,N,Y,47.6052824,-122.2946387
MLS Listing,,Single Family Residential,4620 Dayton Ave N,Seattle,WA,98103,1350000,3,3.5,Fremont,2025,1625,2020,1,667,,Active,,,http://www.redfin.com/WA/Seattle/4620-Dayton-Ave-N-98103/home/171387702,NWMLS,1592180,N,Y,47.6626025,-122.352455
MLS Listing,,Single Family Residential,913 27th Ave,Seattle,WA,98122,975000,4,,Madrona,1900,4814,1908,1,513,,Active,,,http://www.redfin.com/WA/Seattle/913-27th-Ave-98122/home/146186,NWMLS,1592262,N,Y,47.6105281,-122.2978186
MLS Listing,,Single Family Residential,8036 25th Ave NW,Seattle,WA,98117,1899950,5,3.5,Loyal Heights,3250,4850,2020,1,585,,Active,,,http://www.redfin.com/WA/Seattle/8036-25th-Ave-NW-98117/home/163025,NWMLS,1592254,N,Y,47.6879554,-122.3884096
MLS Listing,,Single Family Residential,4049 40th Ave SW,Seattle,WA,98116,1315000,4,3.5,Admiral,3497,5750,1915,1,376,,Active,,,http://www.redfin.com/WA/Seattle/4049-40th-Ave-SW-98116/home/328329,NWMLS,1592069,N,Y,47.5669329,-122.3831382
MLS Listing,,Single Family Residential,13214 42nd Ave NE,Seattle,WA,98125,1680999,4,4.5,Cedar Park,3948,9603,2014,1,426,50,Active,,,http://www.redfin.com/WA/Seattle/13214-42nd-Ave-NE-98125/home/45451397,NWMLS,1591712,N,Y,47.7250971,-122.2820591
MLS Listing,,Single Family Residential,3651 Perkins Ln W,Seattle,WA,98199,875000,2,2.25,Magnolia,1890,8333,1954,1,463,,Active,,,http://www.redfin.com/WA/Seattle/3651-Perkins-Ln-W-98199/home/125701,NWMLS,1591797,N,Y,47.6537355,-122.4164078
MLS Listing,,Single Family Residential,4937 Purdue Ave NE,Seattle,WA,98105,1499000,6,1.75,Hawthorne Hills,3120,6180,1949,1,480,,Active,,,http://www.redfin.com/WA/Seattle/4937-Purdue-Ave-NE-98105/home/320687,NWMLS,1591750,N,Y,47.6706349,-122.2733565
